63861;Pulling Two Fingers In
136859;Thumb Up
68574;Swiping Right
60572;Stop Sign
118480;Doing other things
6522;Swiping Down
20706;No gesture
42237;Thumb Down
133442;Zooming Out With Full Hand
94060;Thumb Down
39493;No gesture
118250;Swiping Down
107050;Turning Hand Counterclockwise
57576;Zooming In With Full Hand
33174;Turning Hand Clockwise
69886;Zooming In With Full Hand
62818;Swiping Left
14506;Stop Sign
29589;Thumb Down
84402;Pushing Two Fingers Away
120035;Pushing Two Fingers Away
46867;Zooming Out With Full Hand
1338;Swiping Right
10179;Swiping Left
19834;Zooming Out With Full Hand
137652;Pushing Two Fingers Away
121324;Zooming Out With Full Hand
110670;Pulling Two Fingers In
33632;Doing other things
145764;Turning Hand Counterclockwise
28883;No gesture
53863;Swiping Down
42951;Zooming Out With Full Hand
144360;Pushing Two Fingers Away
95986;Doing other things
136366;Thumb Down
53251;Zooming In With Full Hand
37219;Stop Sign
49096;Zooming Out With Full Hand
117892;Swiping Down
36380;Pushing Two Fingers Away
120723;Doing other things
49506;Stop Sign
112267;Pulling Two Fingers In
40869;Thumb Down
12133;No gesture
52724;Zooming In With Full Hand
123985;No gesture
2720;Thumb Up
112513;Thumb Down
40836;Swiping Down
26431;Zooming Out With Full Hand
63541;Stop Sign
102678;No gesture
71550;Thumb Down
118215;Thumb Down
6458;Doing other things
10504;No gesture
72381;Doing other things
104639;Swiping Left
85923;Swiping Up
127712;Thumb Up
79314;Swiping Down
25380;Zooming Out With Full Hand
77548;Pushing Two Fingers Away
20263;Pulling Two Fingers In
64966;Zooming Out With Full Hand
74327;Zooming Out With Full Hand
50483;Thumb Down
106347;Zooming In With Full Hand
86318;Turning Hand Clockwise
22613;Thumb Up
142741;Zooming In With Full Hand
39088;Turning Hand Clockwise
118779;Turning Hand Clockwise
111296;Swiping Up
18056;Swiping Up
121120;Pulling Two Fingers In
46260;Swiping Up
114674;No gesture
114827;No gesture
117730;Pulling Two Fingers In
87642;Swiping Up
136846;Turning Hand Clockwise
74438;Swiping Up
108964;Thumb Up
131638;Doing other things
105986;Pushing Two Fingers Away
105791;Swiping Left
100576;Pushing Two Fingers Away
56933;Pushing Two Fingers Away
38482;Swiping Left
78394;Swiping Right
126147;Doing other things
111880;Swiping Left
39047;Zooming In With Full Hand
43404;Doing other things
88051;No gesture
85276;Stop Sign
55697;Doing other things
70120;Pulling Two Fingers In
90819;Zooming In With Full Hand
147456;Swiping Left
95139;Turning Hand Clockwise
93110;Thumb Up
9913;Zooming In With Full Hand
122765;Swiping Up
92896;Zooming In With Full Hand
136771;Thumb Up
75238;Swiping Left
39319;Swiping Left
136822;Swiping Down
52906;Swiping Right
12696;Swiping Down
113147;Swiping Left
75261;Pulling Two Fingers In
39824;Turning Hand Counterclockwise
84384;Stop Sign
11748;Stop Sign
52825;Thumb Up
54856;Swiping Up
67863;Thumb Up
91792;Pulling Two Fingers In
110800;Swiping Down
92971;Pushing Two Fingers Away
53151;Thumb Up
111679;Swiping Right
68933;Stop Sign
24918;Thumb Down
135294;Swiping Right
36753;Turning Hand Clockwise
16198;Swiping Right
103305;Swiping Right
101807;Stop Sign
145771;Swiping Right
48879;Turning Hand Clockwise
69234;Turning Hand Clockwise
57662;Swiping Up
110876;Turning Hand Counterclockwise
33127;Turning Hand Clockwise
3578;Swiping Up
140559;Pulling Two Fingers In
51379;Turning Hand Counterclockwise
15465;Turning Hand Counterclockwise
42054;Swiping Down
122943;Turning Hand Counterclockwise
3492;Turning Hand Counterclockwise
59113;Turning Hand Counterclockwise
131313;Swiping Right
34065;Turning Hand Counterclockwise
